Shaoxing, China, pop=2521964
Yantai, China, pop=2511053
Huizhou, China, pop=2509243
Xuanzhou, China, pop=2500063
Mirzāpur, India, pop=2496970
Hamburg, Germany, pop=2496600
Taipei, Taiwan, pop=2494813
Ankang, China, pop=2493436
Zigong, China, pop=2489256
Sanming, China, pop=2486450
Toluca, Mexico, pop=2476689
Huangshi, China, pop=2469079
Yaoundé, Cameroon, pop=2440462
Zhuhai, China, pop=2439585
Huludao, China, pop=2434194
Baoshan, China, pop=2431211
Mecca, Saudi Arabia, pop=2427924
Vancouver, Canada, pop=2426160
Lianshan, China, pop=2426000
Beirut, Lebanon, pop=2421354
Salvador, Brazil, pop=2417678
Bucharest, Romania, pop=2412530
Longba, China, pop=2407272
Nāgpur, India, pop=2405665
Queens, United States, pop=2405464
Tieling, China, pop=2388294
Yunfu, China, pop=2383350
Bekasi, Indonesia, pop=2381053
Daegu, Korea, South, pop=2376044
Ghāziābād, India, pop=2375820
Luoyang, China, pop=2372571
Luohe, China, pop=2367490
Algiers, Algeria, pop=2364230
Anshun, China, pop=2353100
Huainan, China, pop=2333896
Depok, Indonesia, pop=2330333
Konya, Turkey, pop=2320241
Haiphong, Vietnam, pop=2310280
Yanjiang, China, pop=2308631
Guangyuan, China, pop=2305657
Baku, Azerbaijan, pop=2300500
Yingkou, China, pop=2296540
Mudanjiang, China, pop=2290208
Riverside, United States, pop=2288508
Fukuoka, Japan, pop=2286000
Nantong, China, pop=2261382
Lincang, China, pop=2257991
Las Vegas, United States, pop=2256509
Haikou, China, pop=2250000
Yuxi, China, pop=2249502
Tangerang, Indonesia, pop=2237006
Supaul, India, pop=2229076
Almaty, Kazakhstan, pop=2228675
Vienna, Austria, pop=2223236
Eşfahān, Iran, pop=2219343
Xining, China, pop=2208708
Jincheng, China, pop=2194545
Baltimore, United States, pop=2189589
Dandong, China, pop=2188436
Yan’an, China, pop=2187009
Qinbaling, China, pop=2179716
Gaoping, China, pop=2174000
Awka, Nigeria, pop=2171900
Taizhou, China, pop=2162461
Ma’anshan, China, pop=2159930
Jiamusi, China, pop=2156505
Perth, Australia, pop=2141834
Gaziantep, Turkey, pop=2130432
Phnom Penh, Cambodia, pop=2129371
St. Louis, United States, pop=2127843
Mogadishu, Somalia, pop=2120000
